Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Total_Sales,Rating
Low Fat,NCW41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.015450376,18.0,158,4.5
Low Fat,NCY17,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.163096139,18.2,43,4.5
Low Fat,NCC19,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.096880574,6.57,191,4.5
Low Fat,NCJ43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.027069402,6.635,174,4.5
Low Fat,NCE19,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09301462,8.97,52,4.5
Low Fat,NCO18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.024651269,13.15,179,4.5
Low Fat,NCG43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09187246366666667,20.2,94,4.5
Low Fat,FDT03,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.009998763,21.25,182,4.5
Low Fat,FDW33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.099120588,9.395,107,4.5
Low Fat,DRC12,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037826873,17.85,189,4.5
Regular,FDL14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032158866,8.115,154,4.5
Regular,FDZ01,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.009058845,8.975,103,4.5
Regular,FDJ14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.050070476,10.3,77,4.5
Regular,FDB04,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.063226306,11.35,87,4.5
Regular,FDA08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.050085152,11.85,164,4.5
Low Fat,FDX55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0552059,15.1,219,4.5
Low Fat,NCF55,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021710275,6.675,34,4.5
Low Fat,NCJ30,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.081096613,5.82,170,4.5
Low Fat,FDR10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.010096684,17.6,160,4.5
Low Fat,FDR48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.131770922,11.65,151,4.5
Low Fat,FDL36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.076229769,15.1,90,4.5
Low Fat,FDH27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.058465268,7.075,145,4.5
Low Fat,FDI52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.104890428,18.7,121,4.5
Low Fat,FDD45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.116484721,8.615,94,4.5
Low Fat,NCS53,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.08996026,14.5,159,4.5
Low Fat,NCA41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.032652796,16.75,190,4.5
Low Fat,NCY17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.163117891,18.2,44,4.5
Low Fat,NCX17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.113833823,21.25,232,4.5
Low Fat,NCV54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033176087,11.1,120,4.5
Low Fat,NCQ06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041909345,13.0,255,4.5
Low Fat,NCB55,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.16098885,15.7,57,4.5
Low Fat,NCN54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021369722,20.35,75,4.5
Low Fat,DRE12,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.07071955799999999,4.59,111,4.5
Low Fat,FDR48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.132248069,11.65,150,4.5
Low Fat,FDO12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.055241242,15.75,196,4.5
Low Fat,FDS47,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,0.12961476,16.75,86,4.5
Low Fat,FDZ27,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.017253305,7.935,51,4.5
Low Fat,DRE03,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.024363939,19.6,46,4.5
Low Fat,FDB08,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03127929,6.055,160,4.5
Low Fat,FDB44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016943371,6.655,212,4.5
Low Fat,FDE57,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.036490369,9.6,140,4.5
Low Fat,FDN20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.026329989,19.35,169,4.5
Low Fat,NCD19,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.013253936,8.93,56,4.5
Low Fat,NCG55,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.039160306,16.25,115,4.5
Low Fat,NCO54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.014355033,19.5,55,4.5
Low Fat,FDE46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.015858893,18.6,152,4.5
Regular,FDR37,Breakfast,2015,OUT045,Tier 2,High,Supermarket Type1,0.066383907,16.5,180,4.5
Regular,FDA25,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.068263916,16.5,104,4.5
Regular,FDU50,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.075322658,5.75,116,4.5
Regular,FDT19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.145335007,7.59,173,4.5
Regular,FDX32,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.100060762,15.1,144,4.5
Regular,FDU51,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.096709408,20.2,175,4.5
Regular,FDG46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.032976399,8.63,114,4.5
Regular,FDM12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.070312473,16.7,189,4.5
Regular,FDW38,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.139464425,5.325,53,4.5
Regular,FDZ14,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.047857877,7.71,119,4.5
Regular,FDS19,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.06457046,13.8,76,4.5
Regular,FDP03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0680733325,5.15,122,4.5
Regular,FDR51,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.174450933,9.035,151,4.5
Regular,FDR03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.00878535,15.7,204,4.5
Regular,FDO46,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.014211828800000001,9.6,191,4.5
Regular,FDV22,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.009995002,14.85,154,4.5
Low Fat,FDU35,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1057110225,6.44,99,4.5
Low Fat,FDV49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025822315,10.0,262,4.5
Low Fat,FDA13,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.078540095,15.85,36,4.5
Low Fat,FDJ52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.017783501,7.145,159,4.5
Low Fat,FDT04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.107021498,17.25,40,4.5
Low Fat,NCZ41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.064409056,19.85,126,4.5
Low Fat,NCJ30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08062523,5.82,168,4.5
Low Fat,NCN54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.021322439,20.35,79,4.5
Low Fat,NCD54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.029003459,21.1,143,4.5
Low Fat,NCP50,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020555958,17.35,79,4.5
Low Fat,FDQ09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.058121214,7.235,115,4.5
Low Fat,FDI22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09619424,12.6,210,4.5
Low Fat,DRD12,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077178965,6.96,93,4.5
Low Fat,DRL60,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.027054244,8.52,151,4.5
Low Fat,DRD13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.049070183,15.0,61,4.5
Regular,FDI48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05583687466666667,11.85,51,4.5
Regular,FDZ49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13312044,11.0,221,4.5
Regular,FDJ02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025162022,17.2,145,4.5
Regular,FDJ15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.023318068,11.35,182,4.5
Regular,FDO52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077150004,11.6,170,4.5
Regular,FDU58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.029006239,6.61,186,4.5
Regular,FDN46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.14460413,7.21,102,4.5
Regular,FDO46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.014209811,9.6,188,4.5
Regular,FDI34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.085119855,10.65,229,4.5
Regular,FDG22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.041373331,17.6,38,4.5
Regular,DRC13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.032435437,8.26,124,4.5
Low Fat,FDB17,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.061381589,13.15,179,4.5
Low Fat,FDZ44,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.064824502,8.185,116,4.5
Low Fat,DRK35,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.120256303,8.365,39,4.5
Low Fat,NCP29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.187918654,8.42,65,4.5
Low Fat,NCZ29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.119461188,15.0,126,4.5
Low Fat,NCS30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.155706798,5.945,127,4.5
Low Fat,NCA42,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.047784475,6.965,158,4.5
Low Fat,NCH55,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.058034349,16.35,124,4.5
Low Fat,FDT58,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.143870574,9.0,169,4.5
Low Fat,FDZ45,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.111936685,14.1,198,4.5
Low Fat,FDO57,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.181958524,20.75,161,4.5
Regular,FDT12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.083056555,6.215,224,4.5
Regular,FDW12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.059540542,8.315,143,4.5
Regular,FDF26,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.078057026,6.825,154,4.5
Regular,FDV37,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.139785104,13.0,196,4.5
Regular,FDW38,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.23212188,5.325,55,4.5
Regular,FDS04,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.245483691,10.195,141,4.5
Regular,FDO22,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.029893094,13.5,81,4.5
Regular,FDJ58,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.176244038,15.6,173,4.5
Low Fat,FDW13,Canned,2011,OUT010,Tier 3,Small,Grocery Store,0.163838951,8.5,51,4.5
Low Fat,FDH48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.08213762399999999,13.5,88,4.5
Low Fat,FDO37,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,0.021358889,8.06,232,4.5
Low Fat,FDD14,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.169667145,20.7,183,4.5
Low Fat,FDV38,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.101689151,19.25,54,4.5
Low Fat,FDC41,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.116815953,15.6,75,4.5
Low Fat,FDE57,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.03625493,9.6,141,4.5
Low Fat,FDS07,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.099674817,12.35,112,4.5
Low Fat,NCJ30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.087515845875,5.82,169,4.5
Low Fat,NCI06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.04767798,11.3,181,4.5
Low Fat,FDO34,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.029914022,17.7,166,4.5
Low Fat,FDE46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.01575657,18.6,153,4.5
Low Fat,DRH37,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.041581725,17.6,163,4.5
Regular,FDH02,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.02076385,7.27,89,4.5
Regular,FDC51,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.009613854,10.895,122,4.5
Regular,FDT07,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.077254736,5.82,257,4.5
Regular,FDJ44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.106238768,12.3,176,4.5
Regular,FDO22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.017844609,13.5,81,4.5
Regular,FDI10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.078339081,8.51,172,4.5
Low Fat,FDF04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.013692598,17.5,259,4.5
Low Fat,FDD11,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.030632116,12.85,253,4.5
Low Fat,FDN12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0902389985,15.6,111,4.5
Low Fat,FDD14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.170500183,20.7,184,4.5
Low Fat,FDQ52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.119871307,17.0,248,4.5
Low Fat,FDJ08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.111122936,11.1,189,4.5
Low Fat,FDY19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.041533438,19.75,119,4.5
Low Fat,DRM11,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.066338717,6.57,261,4.5
Low Fat,NCP41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016276741,16.6,109,4.5
Low Fat,NCP17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.027827268,19.35,65,4.5
Low Fat,NCS38,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.090558833,8.6,112,4.5
Low Fat,DRJ25,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.151180862,14.6,47,4.5
Regular,FDY26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.030634813,20.6,212,4.5
Regular,FDV20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.060045008,20.2,128,4.5
Regular,FDV57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06591680520000001,15.25,179,4.5
Low Fat,FDP11,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.068765925,15.85,216,4.5
Low Fat,FDR23,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08139146,15.85,177,4.5
Low Fat,FDB27,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.055121892,7.575,196,4.5
Low Fat,FDK51,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.005209791,19.85,265,4.5
Low Fat,FDK28,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.065272284,5.695,256,4.5
Low Fat,FDK52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.09261763125,18.25,225,4.5
Low Fat,FDU52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.063462048,7.56,157,4.5
Low Fat,NCK05,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.077079177,20.1,61,4.5
Low Fat,NCA06,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.142589751,20.5,35,4.5
Low Fat,NCE06,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.091042211,5.825,162,4.5
Low Fat,NCG07,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.052247806,12.3,190,4.5
Low Fat,NCH54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.072317217,13.5,160,4.5
Low Fat,NCT18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05911748,14.6,181,4.5
Low Fat,NCZ06,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.09370568,19.6,253,4.5
Low Fat,NCL07,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0311868,13.85,39,4.5
Regular,FDF24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02524761,15.5,81,4.5
Regular,FDF26,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.046408928,6.825,153,4.5
Regular,FDR40,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.00799548,9.1,78,4.5
Regular,FDW16,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.041273391,17.35,91,4.5
Regular,FDY04,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.042270751,17.7,162,4.5
Regular,FDO31,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.028842332,6.76,81,4.5
Regular,FDF34,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.013951504,9.3,199,4.5
Regular,DRC36,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.044767032,13.0,173,4.5
Low Fat,FDW24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.037315469,6.8,50,4.5
Low Fat,FDQ23,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.024407061,6.55,102,4.5
Low Fat,NCS05,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.020876485,11.5,133,4.5
Regular,FDT26,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.067624438,18.85,120,4.5
Low Fat,NCD19,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.016164306,8.93,53,4.4
Low Fat,FDB34,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026480954,15.25,87,4.4
Low Fat,DRK35,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.071958197,8.365,38,4.4
Regular,FDB56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07461309,8.75,187,4.4
Low Fat,FDP09,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034027909,19.75,212,4.4
Low Fat,FDG02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.011307038,7.855,188,4.4
Regular,FDM15,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.057373797,11.8,151,4.4
Regular,FDO08,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.09415375,11.1,165,4.4
Low Fat,FDT43,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.020631654,16.35,50,4.4
Low Fat,FDI24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.078362484,10.3,177,4.4
Regular,FDS46,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.082741482,17.6,118,4.4
Regular,FDG28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.049559042,9.285,246,4.4
Low Fat,FDG24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.014618973,7.975,85,4.4
Low Fat,FDQ56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.10550944,6.59,85,4.4
Low Fat,FDX23,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.029691762,6.445,92,4.4
Regular,FDR44,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.102920886,6.11,130,4.4
Regular,FDU01,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.011995271,20.25,184,4.4
Regular,FDP59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.056580228,20.85,105,4.4
Low Fat,NCV17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01619866,18.85,129,4.4
Low Fat,FDZ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020870744,13.1,117,4.4
Low Fat,FDA36,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.005677876,5.985,184,4.4
Low Fat,FDV51,Meat,2011,OUT010,Tier 3,Small,Grocery Store,0.054463442,16.35,163,4.4
Low Fat,NCT41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.098031771,15.7,151,4.4
Low Fat,NCK54,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.029510977333333337,12.15,117,4.4
Low Fat,FDE16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026384672,8.895,208,4.4
Low Fat,FDE53,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026749991,10.895,106,4.4
Low Fat,NCL19,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015673267,15.35,145,4.4
Regular,FDT32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.065316099,19.0,189,4.4
Low Fat,FDC46,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.115978122,17.7,183,4.4
Low Fat,FDS10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0350152,19.2,182,4.4
Low Fat,FDC04,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.044767801,15.6,241,4.4
Low Fat,NCJ30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.080968973,5.82,171,4.4
Regular,FDQ15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.150341867,20.35,83,4.4
Regular,FDV01,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.10928589159999999,19.2,154,4.4
Regular,FDJ57,Seafood,2017,OUT035,Tier 2,Small,Supermarket Type1,0.021569566,7.42,184,4.4
Low Fat,NCE31,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.184843579,7.67,33,4.4
Low Fat,FDV07,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.031304950250000005,9.5,110,4.4
Low Fat,FDD04,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.090153756,16.0,143,4.4
Low Fat,NCC18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.177545624,19.1,172,4.4
Low Fat,NCL31,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.120467994,7.39,145,4.4
Low Fat,FDA33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.033952603,6.48,148,4.4
Low Fat,FDT59,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0159328376,13.65,229,4.4
Low Fat,FDE26,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.089144149,9.3,144,4.4
Low Fat,FDB50,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.153857402,13.0,76,4.4
Low Fat,FDC17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015484763,12.15,211,4.4
Low Fat,FDM44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031097948,12.5,103,4.4
Low Fat,DRI11,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.034457776,8.26,113,4.4
Low Fat,DRL47,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.038707694,19.7,125,4.4
Low Fat,NCB30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025742955,14.6,197,4.4
Low Fat,NCI18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014045832,18.35,222,4.4
Low Fat,NCP06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039306822,20.7,150,4.4
Low Fat,NCO02,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07346685959999999,11.15,65,4.4
Low Fat,DRE37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.094366079,13.5,190,4.4
Low Fat,DRD24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030842963,13.85,143,4.4
Low Fat,DRL37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053455158,15.5,43,4.4
Regular,FDJ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039101813,8.895,208,4.4
Regular,FDX11,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.106918052,16.0,183,4.4
Regular,FDJ60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062625641,19.35,165,4.4
Regular,FDB37,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022976493,20.25,240,4.4
Regular,FDC51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.009636821,10.895,121,4.4
Regular,FDY15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.171093639,18.25,155,4.4
Regular,FDV04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.150248468,7.825,155,4.4
Regular,FDB56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.074743226,8.75,187,4.4
Regular,FDY20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.081879864,12.5,91,4.4
Regular,FDK32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.049051717,16.25,152,4.4
Regular,FDP44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.079837509,16.5,102,4.4
